Geo Point;Geo Shape;gid;geom_o;geom_err;typologie;nombre;insee;cdate;mdate
44.8440074,-0.5418491;"{""type"": ""Point"", ""coordinates"": [-0.5418491, 44.8440074]}";1109449036;0;;;5;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8459894,-0.5790463;"{""type"": ""Point"", ""coordinates"": [-0.5790463, 44.8459894]}";1109449044;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.854211,-0.5690027;"{""type"": ""Point"", ""coordinates"": [-0.5690027, 44.854211]}";1109449080;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8548208,-0.5717805;"{""type"": ""Point"", ""coordinates"": [-0.5717805, 44.8548208]}";1109449082;0;;;1;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8366155,-0.5893459;"{""type"": ""Point"", ""coordinates"": [-0.5893459, 44.8366155]}";1109449362;0;;;8;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.844532,-0.5578552;"{""type"": ""Point"", ""coordinates"": [-0.5578552, 44.844532]}";1109449448;0;;;6;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8597106,-0.5820025;"{""type"": ""Point"", ""coordinates"": [-0.5820025, 44.8597106]}";1109449596;0;;;6;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8590457,-0.5801613;"{""type"": ""Point"", ""coordinates"": [-0.5801613, 44.8590457]}";1109449600;0;;;5;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8228964,-0.5771982;"{""type"": ""Point"", ""coordinates"": [-0.5771982, 44.8228964]}";1109449656;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8219222,-0.5615891;"{""type"": ""Point"", ""coordinates"": [-0.5615891, 44.8219222]}";1109449708;0;;;5;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8382656,-0.5819317;"{""type"": ""Point"", ""coordinates"": [-0.5819317, 44.8382656]}";1109449790;0;;;22;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8326488,-0.5602579;"{""type"": ""Point"", ""coordinates"": [-0.5602579, 44.8326488]}";1109449124;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8178836,-0.5721975;"{""type"": ""Point"", ""coordinates"": [-0.5721975, 44.8178836]}";1109449184;0;;;14;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8369784,-0.5734441;"{""type"": ""Point"", ""coordinates"": [-0.5734441, 44.8369784]}";1109449328;0;;;12;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8392143,-0.5720399;"{""type"": ""Point"", ""coordinates"": [-0.5720399, 44.8392143]}";1109449338;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8392768,-0.569068;"{""type"": ""Point"", ""coordinates"": [-0.569068, 44.8392768]}";1109449340;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.831203,-0.5964227;"{""type"": ""Point"", ""coordinates"": [-0.5964227, 44.831203]}";1109448880;0;;;8;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8424284,-0.5847631;"{""type"": ""Point"", ""coordinates"": [-0.5847631, 44.8424284]}";1109450332;0;;ARCEAU_MOTO;1;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8514794,-0.5950507;"{""type"": ""Point"", ""coordinates"": [-0.5950507, 44.8514794]}";1109450434;0;;;7;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8383088,-0.5569148;"{""type"": ""Point"", ""coordinates"": [-0.5569148, 44.8383088]}";1109450440;0;;ARCEAU_MOTO;10;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8435816,-0.563365;"{""type"": ""Point"", ""coordinates"": [-0.563365, 44.8435816]}";1109450458;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
